airport,year,month,vsby,tmpf,p01i,sknt,weather_delay,elevation
SFO,2024,10,9.667421513124035,62.939195979899495,0.1207,6.010598124010233,162.0,13.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,75.0,125.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,1.0,1026.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,471.0,607.0
MIA,2024,10,9.771762534604736,79.59593787335723,52.3265,6.3881902679059595,264.0,8.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,456.0,680.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,193.0,1026.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,19.0,607.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,3.0,125.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,5.0,680.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,64.0,607.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,2297.0,1026.0
JFK,2024,9,9.750669383003492,68.9139534883721,7.1044,7.214549483013294,541.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,238.0,1026.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,125.0,5431.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,3416.0,607.0
JFK,2024,9,9.750669383003492,68.9139534883721,7.1044,7.214549483013294,769.0,13.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,1354.0,125.0
MIA,2024,9,9.856748078745131,83.5993095512083,75.8255,5.318491644678979,2508.0,8.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,1283.0,680.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,735.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,135.0,1026.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,6.0,125.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,467.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,40.0,1026.0
JFK,2024,9,9.750669383003492,68.9139534883721,7.1044,7.214549483013294,251.0,13.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,38.0,125.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,57.0,13.0
